,Latitude,Longitude,Comments,Name,Cat,Address,City,St,Zip
75,35.763795,-91.535852,12 - 6 height clearance (136),Low Clearance,LC12,Harrison St,Batesville,AR,72501
76,33.578179999999996,-92.8261,10 - 1 height clearance (136),Low Clearance,LC10,Grinstead St SE,Camden,AR,71701
77,33.58788,-92.82704,13 - 10 height clearance,Low Clearance,LC13,Van Bruren St Bus 79,Camden,AR,71701
78,33.606559999999995,-92.82024,13 - 1 height clearance (136),Low Clearance,LC13,AR 7,Camden,AR,71701
79,34.688809,-91.316231,12 - 1 height clearance (136),Low Clearance,LC12,US 79,Clarendon,AR,72029
80,35.268240000000006,-90.47207,9 - 0 height clearance (136),Low Clearance,LC9,Alabama Ave south of Randolph St,Earle,AR,72331
81,35.269459999999995,-90.46566999999999,12 - 1 height clearance (136),Low Clearance,LC12,Commerce St,Earle,AR,72331
82,33.610766,-93.815338,8 - 0 height clearance (136),Low Clearance,LC8,Ina St and Little River St,Fulton,AR,71838
83,33.613199,-93.812451,13 - 8 height clearance,Low Clearance,LC13,AR 355,Fulton,AR,71838
84,36.490386,-93.932441,13 - 10 height clearance,Low Clearance,LC13,Hwy 62,Garfield,AR,72732
85,33.369334,-93.717736,13 - 6 height clearance,Low Clearance,LC13,AR 134 south of 82,Garland,AR,71839
86,33.92202,-93.15095,10 - 6 height clearance (136),Low Clearance,LC10,W Maple St just north of N 1st St,Gurdon,AR,71743
87,34.49264,-93.04841,11 - 6 height clearance (136),Low Clearance,LC11,Shady Grove Rd,Hot Springs,AR,71901
88,34.740659,-92.295208,11 - 4 height clearance (136),Low Clearance,LC11,S Summit St,Little Rock,AR,72201
89,34.74192,-92.25778000000001,12 - 6 height clearance (136),Low Clearance,LC12,E 6th St,Little Rock,AR,72201
90,34.741997,-92.252767,13 - 6 height clearance,Low Clearance,LC13,E 6th St,Little Rock,AR,72201
91,34.745059999999995,-92.30071,13 - 5 height clearance (136),Low Clearance,LC13,W 7th St,Little Rock,AR,72201
92,34.749817,-92.27494300000001,10 - 1 height clearance (136),Low Clearance,LC10,La Harpe Blvd,Little Rock,AR,72201
93,35.153681,-92.75045,9 - 4 height clearance (136),Low Clearance,LC9,S Cherokee St south of 64,Morrilton,AR,72110
94,35.154771999999994,-92.753856,13 - 10 height clearance,Low Clearance,LC13,S Cedar St south of 64,Morrilton,AR,72110
95,35.885512,-91.89061600000001,13 - 5 height clearance (136),Low Clearance,LC13,CR 157,Mountain View,AR,72560
96,35.587339,-91.321836,10 - 6 height clearance (136),Low Clearance,LC10,"Eagle Lake Rd, Jackson 10",Newport,AR,72112
97,34.758179999999996,-92.2792,12 - 6 height clearance (136),Low Clearance,LC12,W Broadway St,North Little Rock,AR,72114
98,34.76853,-92.19941999999999,13 - 10 height clearance,Low Clearance,LC13,Jacksonville Hwy\/161,North Little Rock,AR,72114
99,35.264309999999995,-90.55385,9 - 8 height clearance (136),Low Clearance,LC9,Tyronza Ave,Parkin,AR,72373
100,35.264509999999994,-90.55601,12 - 1 height clearance (136),Low Clearance,LC12,Sparrow Ave\/75,Parkin,AR,72373
101,35.264759999999995,-90.55869,11 - 8 height clearance (136),Low Clearance,LC11,W Front St\/758,Parkin,AR,72373
102,35.251909999999995,-93.04821,11 - 6 height clearance (136),Low Clearance,LC11,CR 247,Pottsville,AR,72858
103,33.42096,-94.03011,14 - 1 height clearance,Low Clearance,LC14,East St\/71,Texarkana,AR,71854
104,33.47631,-93.97100999999999,10 - 10 height clearance (136),Low Clearance,LC10,Dolley Ferry Rd south of Hwy 296,Texarkana,AR,71854
105,35.6589,-90.49835,9 - 5 height clearance (136),Low Clearance,LC9,S Ozark Ave\/69,Trumann,AR,72472
106,35.67139,-90.50584,10 - 5 height clearance (136),Low Clearance,LC10,Carlson St west of Melton Ave,Trumann,AR,72472
107,35.6783,-90.51006,12 - 5 height clearance (136),Low Clearance,LC12,Speedway St west of Melton Ave,Trumann,AR,72472
108,35.36538,-90.25437,11 - 6 height clearance (136),Low Clearance,LC11,CR 42,Turrell,AR,72384
109,35.43288,-94.35502,12 - 8 height clearance (136),Low Clearance,LC12,3rd St,Van Buren,AR,72956
110,35.43618,-94.35477,10 - 0 height clearance (136),Low Clearance,LC10,6th St and Washington St,Van Buren,AR,72956
111,35.43653,-94.35378,10 - 10 height clearance (136),Low Clearance,LC10,6th St and Washington St,Van Buren,AR,72956
112,31.441105,-109.91331699999999,13 - 5 height clearance (136),Low Clearance,LC13,Tomstone Canyon Rd,Bisbee,AZ,85603
113,31.461540999999997,-109.946845,"5800 ft elev, West: 5-6 percent grade for 4 miles., East: 5-6 percent grade descent for 4 miles and 9 percent for 1 mile",Road Grade,Grade,"80, West of Bisbee, AZ",Bisbee,AZ,85603
114,35.185594,-114.47775700000001,"1800 ft elev, Runaway Ramp westbound off to the right",Runaway Ramp,Ramp,"68, Between Kingman, AZ and Bullhead City, Laughlin",Bullhead City,AZ,86429
115,34.494107,-111.631322,"6000 ft elev, West: 9 miles of 6-7 percent grade. WB descent. 2 lane rd. Use extra caution on this long and dangerous descent.",Road Grade,Grade,"260, Between 87 and Camp Verde, AZ",Camp Verde,AZ,86322
116,34.537637,-111.923606,"3926 ft elev, Runaway Ramp northbound off to the left as road curves right.",Runaway Ramp,Ramp,"I-17, Between Flagstaff and Phoenix, AZ",Camp Verde,AZ,86322
117,32.879756,-111.762052,eastbound 13 - 4 height clearance (136),Low Clearance,LC13,Gila Bend Hwy\/84,Casa Grande,AZ,85122
118,33.054105,-109.083474,"6300 ft elev, Big rigs not recommended, West: 4 miles of 7-8 percent grade descent followed by 7 miles of 4-7 percent grade descent. Slow curves throughout., East: Miles of up and down, short 6 percent grades and curves.",Road Grade,Grade,"78, Between Threeway, AZ and Mule Creek, NM",Clifton,AZ,85533
119,33.575762,-109.359205,"9200 ft elev, 40 ft limit and a 12 ft 7 inch clearance tunnel, South: Many 8-9 percent grade descent sections, narrow road and many hairpin turns. 6 percent grade descent for 5 miles south of Hannagan Meadow. 6 percent grade descent from Morenic to Clifton and 6 percent grade climb for 2 miles out of Clifton., North: Many 8-9 percent grade climb sections. A 6 percent grade descent into Clifton from the south. A 6 percent grade climb for 2 miles from Clifton to Morenci",Road Grade,Grade,"191, Between Clifton and Alpine, AZ",Clifton,AZ,85533
120,34.197676,-112.129396,"3368 ft elev, South: 6 percent grade for 6 miles. SB descent.",Road Grade,Grade,"I-17, Between Flagstaff and Phoenix, AZ",Congress,AZ,85324
121,34.707328000000004,-112.149818,"7025 ft elev, 50 ft limit, South: 4.5 miles of 6-7 percent grade. Many curves. One short section in Jerome at 11 percent grade., North: 12 miles of 6 percent grade. Many curves, hairpin turns",Road Grade,Grade,"89 Alt, Between US89 and Cottonwood, AZ",Cottonwood,AZ,86326
122,34.532882,-111.965965,"4717 ft elev, North: 6 percent grade for 6 miles. NB descent, SB climb.",Road Grade,Grade,"I-17, Between Flagstaff and Phoenix, AZ",Dewey,AZ,86327
123,35.033159000000005,-111.73414,"6450 ft elev, South: 7 percent grade descent for 3 miles, hairpin turns and narrow road. More rolling descents for another 10 miles with short 6 percent grade sections.",Road Grade,Grade,"89A, Between Flagstaff and Sedona, AZ",Flagstaff,AZ,86001
124,35.381563,-111.58051,"7200 ft elev, North of this point, 4 miles of 6 percent grade. NB descent.",Road Grade,Grade,"89, US89 North of Flagstaff, AZ",Flagstaff,AZ,86004
125,36.716491999999995,-112.21543600000001,"7800 ft elev, 89 directions can be a little tricky. Northbound from Jacob Lake towards Fredonia and Utah: 6 percent grade descent for 6 miles., Southbound from Jacob Lake towards Page: 5-6 percent grade descent for 10 miles.",Road Grade,Grade,"89A, Jacob Lake north of Grand Canyon",Fredonia,AZ,86022
126,33.401705,-110.791799,12 - 6 height clearance (136),Low Clearance,LC12,N Broad St east of 60,Globe,AZ,85501
127,33.264133,-110.77068700000001,"4980 ft elev, North: 8 percent grade descent for 3 miles and 6 percent for 1 mile, South: 7 percent grade descent for 7 miles and 8 percent grade descent for 2 miles.",Road Grade,Grade,"77, Between Globe and Winkelman, AZ",Globe,AZ,85501
128,33.156038,-110.805706,"2858 ft elev, Runaway Ramp southbound straight ahead as road curves to left",Runaway Ramp,Ramp,"77, Between Globe and Winkelman, AZ",Globe,AZ,85501
129,33.175168,-110.810929,"3400 ft elev, Runaway Ramp southbound straight ahead as road curves to left",Runaway Ramp,Ramp,"77, Between Globe and Winkelman, AZ",Globe,AZ,85501
130,35.045703,-114.380772,"3600 ft elev, 40 ft limit, West: 7-11 percent grade descent, very narrow, sharp switchbacks and road drop offs without a shoulder., East: 6-8 percent grade descent for 3.25 miles",Road Grade,Grade,"66, old Route 66 between Kingman and Mohave Valley, AZ",Golden Valley,AZ,86413
131,35.218346999999994,-114.39188700000001,"3600 ft elev, East: 6 percent grade descent for 1 mile and then 4 percent for 4 miles, West: 6 percent grade descent for 11.5 miles. Use extra caution on this 3000 foot drop that ends in a curve near the river and Bullhead City.",Road Grade,Grade,"68, Between Kingman, AZ and Bullhead City, Laughlin",Golden Valley,AZ,86413
132,34.330395,-110.79714799999999,"7600 ft elev, West: 5 miles of 6 percent grade. Overall 260 has many short 6 percent grade hills. WB descent. 2 lane rd.",Road Grade,Grade,"260, Between Heber and Payson, AZ",Heber,AZ,85931
133,36.016164,-114.73718400000001,"1189 ft elev, Lowpoint, North: 5-6 percent grade descent for 6 miles. New bypass takes most of the challenge away., South: 5 percent hill up towards the dam area. New bypass takes most of the challenge away.",Road Grade,Grade,"93, Between Kingman, AZ and Boulder City, NV. Old dam route",Hoover Dam,AZ,86443
134,33.201134,-111.056428,"3600 ft elev, Several 10 percent grades, all 1-2 miles in length along this 20 mile stretch between Superior and Kearny, AZ.",Road Grade,Grade,"177, Between Kearny and Superior, AZ",Kearny,AZ,85137
135,34.31026,-112.56863,10 - 5 height clearance (136),Low Clearance,LC10,S Wagoner Rd,Kirkland,AZ,86332
136,36.635358000000004,-111.648132,"5140 ft elev, Runaway Ramp southbound off to the right",Runaway Ramp,Ramp,"89, Between Page and Bitter Springs, AZ",Marble Canyon,AZ,86036
137,33.3415,-111.014192,"4600 ft elev, 14 ft clearance tunnel east of Superior, North: Many 6-7 percent grade climbs and descents along route with overall descending towards Miami. Many short stretches but there are up to 7 mile long 6 percent grade descents, South: Many 6-7 percent grade climbs and descents along route with overall climbing towards Superior. Many short stretches but there are up to 7 mile long 6 percent grade climbs.",Road Grade,Grade,"60, Between Miami and Superior, AZ",Miami,AZ,85539
138,34.826663,-111.609986,"6400 ft elev, South: 6 percent grade for 13 miles. SB descent. NB climb.",Road Grade,Grade,"I-17, Between Flagstaff and Phoenix, AZ",Munds Park,AZ,86017
139,32.624485,-110.749669,"4400 ft elev, North: 7 percent grade descent for 12 miles with mix of mild grades, South: 7 percent grade climb for 12 miles",Road Grade,Grade,"77, North of Tucson, AZ",Oracle,AZ,85623
140,36.668832,-111.62471299999999,"6000 ft elev, South: 4 miles of 6 percent grade. SB descent.",Road Grade,Grade,"89, Between Page and Bitter Springs, AZ",Page,AZ,86040
141,34.06201,-111.360648,"3200 ft elev, Lowpoint, South: Many 5-7 percent grade climbs and descents, North: Many 5-7 percent grade climbs and descents",Road Grade,Grade,"87, Between Phoenix and Rye, AZ",Payson,AZ,85541
142,34.183370000000004,-111.334383,"4690 ft elev, South: 7 percent grade descent in short sections followed by 6 percent grade descent for 5.5 miles.",Road Grade,Grade,"87, Between Phoenix and Payson, AZ",Payson,AZ,85541
143,34.287290000000006,-111.140156,"5400 ft elev, West: 3-4 miles of 6 percent grade. Overall 260 has many short 6 percent grade hills. WB descent. 2 lane rd.",Road Grade,Grade,"260, Between Heber and Payson, AZ",Payson,AZ,85541
144,33.392751000000004,-111.9686,15 - 1 height clearance,Low Clearance,LC15,Southern Ave and I-10\/60,Phoenix,AZ,85042
145,33.427305,-112.04778300000001,14 - 0 height clearance,Low Clearance,LC14,S 16th St under I-17,Phoenix,AZ,85034
146,33.44399,-112.09577,12 - 0 height clearance (136),Low Clearance,LC12,S 17th Ave,Phoenix,AZ,85034
147,33.444137,-112.073771,14 - 0 height clearance,Low Clearance,LC14,S Central Ave,Phoenix,AZ,85034
148,33.445077000000005,-112.074904,15 - 1 height clearance,Low Clearance,LC15,S 1st Ave,Phoenix,AZ,85034
149,33.58193,-112.11689799999999,"14 - 9 height clearance on west side, 15-1 on east side",Low Clearance,LC14,Peoria Ave under I-17,Phoenix,AZ,85029
150,34.92838,-112.81603,13 - 6 height clearance,Low Clearance,LC13,Williamson Valley Rd\/FR 6,Prescott,AZ,86305
151,34.487776000000004,-112.50150900000001,"6000 ft elev, 40 ft limit, Between Wilhoit and Prescott, up and down 6 percent grades both directions, tight curves most of 15 miles stretch.",Road Grade,Grade,"89, Between 93 and Prescott, AZ",Prescott,AZ,86303
152,33.619347999999995,-110.92183700000001,12 - 2 height clearance (136),Low Clearance,LC12,Desert to Tall Pines Hwy\/288,Roosevelt,AZ,85545
153,33.536101,-110.92811100000002,"4000 ft elev, North: 7 percent grade descent for 1 miles and 6 percent for 4 miles down to lake area, a brake check area at top of the hill. South: 6 percent grade descent for 3 miles toward Globe, a break and then 2 more 6 percent miles.",Road Grade,Grade,"188, Lake Roosevelt, AZ",Roosevelt,AZ,85545
154,33.596319,-111.203299,"2000 ft elev, 22 ft limit, 24 miles of gravel road, steep, narrow and curvy.",Road Grade,Grade,"88, Lake Roosevelt, AZ",Roosevelt,AZ,85545
155,34.764196999999996,-111.656651,13 - 1 height clearance (136),Low Clearance,LC13,I-17 underpass to 213,Sedona,AZ,86351
156,34.708968,-111.739713,"4231 ft elev, Runaway Ramp southbound off to the right",Runaway Ramp,Ramp,"I-17, Between Flagstaff and Phoenix, AZ",Sedona,AZ,86351
157,34.311771,-110.24871599999999,11 - 2 height clearance (136),Low Clearance,LC11,Pinedale Rd half mile south of 260,Show Low,AZ,85901
158,34.443513,-111.452444,"7100 ft elev, South: Starts with mild 4 percent grade descent for 2.5 miles followed by 6 percent grade descent for 4 miles into Strawberry. Another 6 percent grade descent for 3 miles to Pine. More short ups and downs south to Payson.",Road Grade,Grade,"87, North of Payson, AZ",Strawberry,AZ,85544
159,33.304629999999996,-111.08261999999999,13 - 6 height clearance,Low Clearance,LC13,"East of Superior, Queen Creek Tunnel",Superior,AZ,85173
160,33.410998,-111.909154,15 - 6 height clearance,Low Clearance,LC15,S McClintock,Tempe,AZ,85281
161,33.411024,-111.93983999999999,15 - 2 height clearance,Low Clearance,LC15,S Mill Ave,Tempe,AZ,85281
162,32.10654,-110.99315,15 - 1 height clearance,Low Clearance,LC15,W San Xavier Rd under I-19,Tucson,AZ,85746
163,32.206783,-110.97960800000001,13 - 6 height clearance,Low Clearance,LC13,W Starr Pass Blvd under I-10,Tucson,AZ,85746
164,32.225235999999995,-110.96866399999999,10 - 10 height clearance (136),Low Clearance,LC10,N 6th Ave,Tucson,AZ,85746
165,32.22707,-110.9717,13 - 6 height clearance,Low Clearance,LC13,N Stone Ave,Tucson,AZ,85746
166,32.235827,-110.98155,13 - 10 height clearance,Low Clearance,LC13,W Speedway Blvd east of I-10,Tucson,AZ,85746
167,32.25026,-110.99168999999999,14 - 0 height clearance,Low Clearance,LC14,W Grant Rd east of I-10,Tucson,AZ,85746
168,33.797765000000005,-110.504186,"3357 ft elev, Lowpoint, North: 6 percent grade descent for 3 miles, a mile break and then 6 percent grade descent for 5 miles., South: 5-6 percent grade descent for 7 miles, 2 mile break and then 6 percent grade descent for 5.5 miles. Closer to Globe, there is another 6 percent grade descent for 8 miles followed by a 8 mile break and then a 6 percent grade descent for 4 miles.",Road Grade,Grade,"60, Between Show Low and Globe, AZ",Whiteriver,AZ,85941
169,34.504293,-113.409176,"3200 ft elev, South: Many 5-6 percent grade descents and climbs. With many curves and high traffic, it is a very deadly road. AllStays used to drive this route a lot and you need to stay alert for Phoenix to Las Vegas speeders., North: Many 5-6 percent grade descents and climbs.",Road Grade,Grade,"93, Between I-40 and Phoenix",Wikieup,AZ,85360
170,35.223077,-112.321193,"6500 ft elev, West: 6 miles of 6 percent grade. WB descent",Road Grade,Grade,"I-40, East of Ash Fork, AZ",Williams,AZ,86046
171,34.97582,-110.5255,14 - 0 height clearance,Low Clearance,LC14,Hibbard Rd off I-40,Winslow,AZ,86047
172,34.214641,-112.75513899999999,"5000 ft elev, 40 ft limit, Between 93 and Yarnell, 5.5 miles of 6 percent grade, SB descent.",Road Grade,Grade,"89, Between 93 and Prescott, AZ",Yarnell,AZ,85362
173,32.659863,-114.333522,"800 ft elev, East: 6 percent grade descent for 2 miles, West: 5-6 percent grade descent for 2 miles",Road Grade,Grade,"I-8, East of Yuma, AZ",Yuma,AZ,85367
174,34.105489,-118.80948000000001,14 - 0 height clearance,Low Clearance,LC14,Hwy N9 Tunnel,Agoura Hills,CA,91301
175,40.4406,-122.29964,11 - 6 height clearance (136),Low Clearance,LC11,Bruce Dr,Anderson,CA,96007
176,38.331002000000005,-119.63770500000001,"9552 ft elev, May be closed in winter. Trucks should use extreme caution or avoid. Many trucks have problems each year and require help., Eastbound: 10-15 percent grade descents for 10 miles with a very short 26 percent grade. This is a narrow winding road with sharp curves., Westbound: 10-15 percent grade descents for 10 miles followed by 6 percent grade for 8 miles.",Road Grade,Grade,"108, on CA 108 east of Sonora, CA",Arnold,CA,95223
177,35.50098,-120.66242,13 - 2 height clearance (136),Low Clearance,LC13,Capistrano Ave\/Sycamore Rd,Atascadero,CA,93422
178,38.90384,-121.0662,13 - 7 height clearance,Low Clearance,LC13,49\/193,Auburn,CA,95603
179,38.92083,-121.0928,11 - 3 height clearance (136),Low Clearance,LC11,Edgewood Rd,Auburn,CA,95603
180,33.829347999999996,-116.79625700000001,"5146 ft elev, Northbound: 7 percent grade descent for over 6 miles into Banning.",Road Grade,Grade,"243, on CA 243 between Banning and Mountain Center, CA",Banning,CA,92220
181,37.84908,-122.29563,15 - 1 height clearance,Low Clearance,LC15,Ashby Ave\/13,Berkeley,CA,94710
182,34.189876,-116.7177,"8412 ft elev, Northbound: 6 percent grade descent for 4 miles., Southbound: 6 percent grade for 7 miles.",Road Grade,Grade,"38, between Big Bear City and Redlands",Big Bear,CA,92314
183,34.277803999999996,-116.814004,"6739 ft elev, Northbound: 9-16 percent grade descent for 7 miles of sharp curves and switchbacks, followed by 5-6 percent for another 3 miles.",Road Grade,Grade,"18, between Big Bear City and Victorville",Big Bear,CA,92314
184,37.155390999999995,-119.24571999999999,"6634 ft elev, Southbound: 7 percent grade for 7 miles",Road Grade,Grade,"168, northeast of Fresno, CA",Big Creek,CA,93605
