,UID,Type,Est,Latitude,Longitude,ChainName,Name,Address,City,St,Zip,Phone,Web,Directions,Cat,County,RecordID,Elev,trail,hike,AmenitiesExtra,Comments,brand,CatName,PushPin,bIcon,Keyfilter,Pin
1,200029,Off,435,33.9010647,-84.0772382,Low Clearance,Low Clearance,rail over Ronald Reagan Pkwy,Lawrenceville,GA,30044,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200030,Off,435,33.814481,-84.489897,Low Clearance,Low Clearance,rail over Riverview Rd SE,Mableton,GA,30126,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200031,Off,435,32.845298,-83.593474,Low Clearance,Low Clearance,rail over Emery Hwy,Macon,GA,31217,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200032,Off,435,32.86833,-83.69806,Low Clearance,Low Clearance,rail over Forsyth Rd,Macon,GA,31210,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200033,Off,435,32.838848,-83.617858,Low Clearance,Low Clearance,rail over I-16,Macon,GA,31201,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200034,Off,435,32.838657,-83.647926,Low Clearance,Low Clearance,rail over I-75,Macon,GA,31201,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200035,Off,435,32.836758,-83.643964,Low Clearance,Low Clearance,rail over Monroe St,Macon,GA,31201,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200036,Off,435,33.9577,-84.551335,Low Clearance,Low Clearance,rail over North Marietta Pkwy NW,Marietta,GA,30060,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200037,Off,435,33.935545,-84.541309,Low Clearance,Low Clearance,rail over S Cobb Dr,Marietta,GA,30060,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200038,Off,435,33.947504,-84.548945,Low Clearance,Low Clearance,rail over South Marietta Pkwy SE,Marietta,GA,30060,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200039,Off,435,33.970403,-84.558176,Low Clearance,Low Clearance,rail over Tower Rd,Marietta,GA,30060,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200040,Off,435,33.906807,-84.527555,Low Clearance,Low Clearance,rrail over George McMillan Drive,Marietta,GA,30008,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200041,Off,435,33.576585,-84.341056,Low Clearance,Low Clearance,rail and Jonesboro Rd over I-75,Morrow,GA,30260,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200042,Off,435,33.615737,-84.349615,Low Clearance,Low Clearance,rail over Jonesboro Rd,Morrow,GA,30260,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200043,Off,435,33.934079,-84.223443,Low Clearance,Low Clearance,rail over Jimmy Carter Blvd,Norcross,GA,30071,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200044,Off,435,32.153337,-81.180568,Low Clearance,Low Clearance,rail over Georgia 21\/Augusta Rd,Port Wentworth,GA,31407,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200045,Off,435,34.000136,-85.017857,Low Clearance,Low Clearance,rail over Braswell Rd,Rockmart,GA,30153,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200046,Off,435,33.793576,-84.263689,Low Clearance,Low Clearance,rail over N Decatur Rd,Scottdale,GA,30079,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200047,Off,435,33.828478,-84.46072,Low Clearance,Low Clearance,rail over Port Cobb Dr,Smyrna,GA,30080,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200048,Off,435,33.894451,-84.520178,Low Clearance,Low Clearance,rail over Windy Hill Rd SE,Smyrna,GA,30080,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200049,Off,435,34.595711,-83.283528,Low Clearance,Low Clearance,rail over Aviation Way\/E Tugalo St,Toccoa,GA,30577,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200050,Off,435,34.560957,-83.413235,Low Clearance,Low Clearance,rail over Ayersville Rd,Toccoa,GA,30577,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200051,Off,435,33.851177,-84.218432,Low Clearance,Low Clearance,rail over Fellowship Rd,Tucker,GA,30084,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200052,Off,435,33.558079,-84.549825,Low Clearance,Low Clearance,rail over I-85,Union City,GA,30291,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200053,Off,435,33.879469,-84.473389,Low Clearance,Low Clearance,rail over Georgia 407,Vinings,GA,30339,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200054,Off,435,42.562455,-93.026893,Low Clearance,Low Clearance,rail over Crescent\/CR 65,Ackley,IA,50601,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200055,Off,435,41.034492,-92.85916,Low Clearance,Low Clearance,rail over 625th Ave,Albia,IA,52531,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200056,Off,435,40.92593,-92.76864,Low Clearance,Low Clearance,rail over 672 Ave,Albia,IA,52531,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200057,Off,435,43.074511,-94.224017,Low Clearance,Low Clearance,rail over E Oak St,Algona,IA,50511,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200058,Off,435,43.07723,-94.235372,Low Clearance,Low Clearance,rail over N Jones St,Algona,IA,50511,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200059,Off,435,41.644112,-93.481093,Low Clearance,Low Clearance,rail over 8th St SW,Altoona,IA,50009,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200060,Off,435,41.660786,-93.444889,Low Clearance,Low Clearance,rail over NE 80th St,Altoona,IA,50009,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200061,Off,435,42.034971,-93.653934,Low Clearance,Low Clearance,rail over 13th St,Ames,IA,50014,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200062,Off,435,42.032267,-93.644745,Low Clearance,Low Clearance,rail over Stange Rd,Ames,IA,50011,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200063,Off,435,42.301874,-94.877594,Low Clearance,Low Clearance,rail over 335th St,Auburn,IA,51433,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200064,Off,435,42.29536,-94.892261,Low Clearance,Low Clearance,rail over Xavier Ave,Auburn,IA,51433,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200065,Off,435,42.5056544,-94.3444916,Low Clearance,Low Clearance,rail over Fairbanks Ave,Barnum,IA,50518,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200066,Off,435,40.99681,-92.139786,Low Clearance,Low Clearance,rail over Cedar Ave,Batavia,IA,52533,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200067,Off,435,41.8968108,-92.2274721,Low Clearance,Low Clearance,rail over 13th Ave Dr,Belle Plaine,IA,52208,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200068,Off,435,41.898641,-92.211364,Low Clearance,Low Clearance,rail over 77th St Dr,Belle Plaine,IA,52208,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200069,Off,435,42.059061,-93.973867,Low Clearance,Low Clearance,rail over Juneberry Rd,Boone,IA,50036,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200070,Off,435,43.114337,-91.681311,Low Clearance,Low Clearance,rail over U.S. 52,Castalia,IA,52133,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200071,Off,435,42.203503,-91.517896,Low Clearance,Low Clearance,rail over E Maple St,Central City,IA,52214,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200072,Off,435,41.039,-93.2691045,Low Clearance,Low Clearance,rail over 252nd Trail,Chariton,IA,50049,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200073,Off,435,41.146106,-93.238607,Low Clearance,Low Clearance,rail over 570th St,Chariton,IA,50049,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200074,Off,435,41.190504,-93.2316,Low Clearance,Low Clearance,rail over 60th Ave,Columbia,IA,50057,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200075,Off,435,40.6231158,-93.2745894,Low Clearance,Low Clearance,rail over Davis,Corydon,IA,50060,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200076,Off,435,40.757059,-93.339415,Low Clearance,Low Clearance,rail over Iowa 2,Corydon,IA,50060,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200077,Off,435,40.7388606,-93.3464927,Low Clearance,Low Clearance,rail over Linden Ave,Corydon,IA,50060,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200078,Off,435,41.253408,-95.808738,Low Clearance,Low Clearance,I-80 over Franklin Ave,Council Bluffs,IA,51503,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200079,Off,435,41.25339,-95.80766,Low Clearance,Low Clearance,rail over Franklin Ave,Council Bluffs,IA,51503,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200080,Off,435,41.249838,-95.906826,Low Clearance,Low Clearance,rail over I-29,Council Bluffs,IA,51501,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200081,Off,435,41.261346,-95.799221,Low Clearance,Low Clearance,rail over McPherson Ave,Council Bluffs,IA,51503,,,,LCX,,,,,,,unmarked high height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200082,Off,435,41.249892,-95.902077,Low Clearance,Low Clearance,rail over S 35th St,Council Bluffs,IA,51501,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200083,Off,435,41.241682,-95.817816,Low Clearance,Low Clearance,rail over Valley View Dr,Council Bluffs,IA,51503,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200084,Off,435,41.531111,-90.54715,Low Clearance,Low Clearance,rail over E 11th St,Davenport,IA,52803,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200085,Off,435,41.522411,-90.569683,Low Clearance,Low Clearance,rail over E 3rd St,Davenport,IA,52801,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200086,Off,435,41.524665,-90.601196,Low Clearance,Low Clearance,rail over N Division St,Davenport,IA,52802,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200087,Off,435,41.791565,-95.387719,Low Clearance,Low Clearance,rail over 2000th St,Defiance,IA,51527,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200088,Off,435,41.806318,-95.362911,Low Clearance,Low Clearance,rail over 2100th St,Defiance,IA,51527,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200089,Off,435,41.820806,-95.342756,Low Clearance,Low Clearance,rail over Linden Rd,Defiance,IA,51527,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200090,Off,435,41.819064,-95.348112,Low Clearance,Low Clearance,rail over U.S. 59,Defiance,IA,51527,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200091,Off,435,41.507354,-94.204219,Low Clearance,Low Clearance,E Ave over I-80,Dexter,IA,50070,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200092,Off,435,41.507882,-94.203482,Low Clearance,Low Clearance,rail over I-80,Dexter,IA,50070,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200093,Off,435,41.7824397,-95.4026981,Low Clearance,Low Clearance,rail over Hazel Rd,Earling,IA,51530,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200094,Off,435,42.448443,-90.897811,Low Clearance,Low Clearance,rail over Lone Pine Rd,Epworth,IA,52045,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200095,Off,435,42.448867,-90.912633,Low Clearance,Low Clearance,rail over Old Highway Rd,Epworth,IA,52045,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200096,Off,435,42.448491,-90.953282,Low Clearance,Low Clearance,rail over Old Highway Rd,Epworth,IA,52045,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200097,Off,435,41.0108157,-91.9193501,Low Clearance,Low Clearance,rail over Nutmeg Ave,Fairfield,IA,52556,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200098,Off,435,42.443911,-90.99304,Low Clearance,Low Clearance,rail over Old Highway Rd,Farley,IA,52046,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200099,Off,435,42.4951715,-94.1797421,Low Clearance,Low Clearance,rail over 14th St SW,Fort Dodge,IA,50501,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200100,Off,435,42.491085,-94.185388,Low Clearance,Low Clearance,rail over Avenue B,Fort Dodge,IA,50501,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200101,Off,435,42.5102747,-94.2022334,Low Clearance,Low Clearance,rail over E Riverside Dr,Fort Dodge,IA,50501,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200102,Off,435,42.488618,-94.192177,Low Clearance,Low Clearance,rail over L St,Fort Dodge,IA,50501,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200103,Off,435,42.4830776,-94.2072917,Low Clearance,Low Clearance,rail over U.S. 169,Fort Dodge,IA,50501,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200104,Off,435,42.478783,-94.1525657,Low Clearance,Low Clearance,rail over Unnamed Rd,Fort Dodge,IA,50501,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200105,Off,435,41.905467,-92.807643,Low Clearance,Low Clearance,rail over 310th St,Gilman,IA,50106,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200106,Off,435,41.043007,-95.73402,Low Clearance,Low Clearance,rail over Ives Ave,Glenwood,IA,51534,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200107,Off,435,41.03092,-95.746617,Low Clearance,Low Clearance,rail over U.S. 34,Glenwood,IA,51534,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200108,Off,435,41.630541,-92.717501,Low Clearance,Low Clearance,rail over 460th Ave,Grinnell,IA,50112,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200109,Off,435,41.623284,-92.714064,Low Clearance,Low Clearance,rail over 465th Ave,Grinnell,IA,50112,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200110,Off,435,41.720466,-92.766749,Low Clearance,Low Clearance,rail over East 156th St N,Grinnell,IA,50112,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200111,Off,435,42.743568,-93.218938,Low Clearance,Low Clearance,rail over 2nd Ave NW,Hampton,IA,50441,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200112,Off,435,41.378068,-95.393745,Low Clearance,Low Clearance,rail over 420th St,Hancock,IA,51536,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200113,Off,435,41.383168,-95.368247,Low Clearance,Low Clearance,rail over U.S. 59,Hancock,IA,51536,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200114,Off,435,41.465036,-93.411857,Low Clearance,Low Clearance,rail over Iowa 5,Hartford,IA,50118,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200115,Off,435,43.243413,-96.199525,Low Clearance,Low Clearance,rail over 280th St,Hull,IA,51239,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200116,Off,435,43.200184,-96.186548,Low Clearance,Low Clearance,rail over 310th St,Hull,IA,51239,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200117,Off,435,41.667276,-91.568666,Low Clearance,Low Clearance,rail over Mormon Trek Blvd,Iowa City,IA,52246,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200118,Off,435,41.653273,-91.536241,Low Clearance,Low Clearance,rail over S Capitol St,Iowa City,IA,52240,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200119,Off,435,42.536637,-93.16422,Low Clearance,Low Clearance,rail over Q Ave,Iowa Falls,IA,50126,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200120,Off,435,42.515395,-93.262757,Low Clearance,Low Clearance,rail over S Oak St,Iowa Falls,IA,50126,,,,LCX,,,,,,,unmarked height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
1,200121,Off,435,42.01666,-94.436964,Low Clearance,Low Clearance,rail over Jordan Ave,Jefferson,IA,50129,,,,LCX,,,,,,,ns unknown height clearance,low-clearance,,low_unk_pushpin,"*""",,low_unk_pushpin
